time_s,energy,centroid,onset,harm_flux,perc_onset,melody_f0,contrast
39.50,0.06620,1809.62619,36.64189,0.12610,48.99327,286.39160,2.95828
40.00,0.05995,2023.55930,30.67709,0.12874,58.49376,282.08496,2.78953
40.50,0.08350,1746.13361,59.57228,0.14305,51.94603,295.00488,2.84279
41.00,0.03646,2572.90073,20.71269,0.10830,73.43036,243.32520,2.47090
41.50,0.05822,1868.94211,39.34607,0.10193,34.49436,387.59766,2.92516
42.00,0.04782,1398.51528,30.98756,0.10622,41.99497,206.71875,3.35997
42.50,0.02907,1556.64150,12.50659,0.09981,35.10744,258.39844,3.54995
43.00,0.12964,1608.57626,140.67798,0.25248,144.58184,320.84473,3.22850
43.50,0.15746,2318.71199,100.83240,0.21997,298.11540,441.43066,2.95889
44.00,0.16955,1855.36621,166.72565,0.24127,202.55287,590.00977,3.38907
44.50,0.12993,1438.68775,127.01580,0.27677,105.76956,357.45117,3.10200
45.00,0.09720,3154.21390,76.12366,0.18438,320.67446,269.16504,2.78643
45.50,0.15056,2153.15885,72.32065,0.12061,140.79166,366.06445,3.06047
46.00,0.13871,1944.95890,107.27596,0.24014,143.63843,439.27734,2.93225
46.50,0.10850,2151.63327,85.27754,0.20045,128.69895,284.23828,2.93959
47.00,0.11121,1956.80014,32.42966,0.04197,83.87070,387.59766,2.89453
47.50,0.14310,2377.30330,55.45858,0.04556,167.43591,706.28906,3.41178
48.00,0.12223,2224.08362,106.18241,0.23590,151.42685,493.11035,2.97477
48.50,0.09588,2306.88775,41.85780,0.12949,113.38902,383.29102,2.78287
49.00,0.04842,1615.17363,19.26353,0.05836,36.98066,96.89941,3.37294
49.50,0.08030,1718.38735,64.97502,0.12293,77.99643,159.34570,3.17981
50.00,0.15020,1964.05153,93.68121,0.18716,161.85350,275.62500,3.10977
50.50,0.15968,2110.03533,128.94186,0.27041,287.21546,357.45117,3.17419
51.00,0.12673,2802.33466,131.25193,0.29884,298.39705,378.98438,2.80305
51.50,0.10962,1491.86442,87.08841,0.20547,48.61939,374.67773,3.02852
52.00,0.15822,1626.38263,67.12706,0.12360,77.96609,549.09668,3.20316
52.50,0.14546,1950.20638,127.57006,0.21525,165.32007,338.07129,3.42718
53.00,0.16806,2149.76162,116.94176,0.19375,218.53578,450.04395,3.33170
53.50,0.12176,2141.39130,73.44453,0.14023,131.44143,374.67773,3.05555
54.00,0.12094,1956.86701,100.73462,0.25956,96.47952,413.43750,3.04682
54.50,0.11530,2254.35605,72.50272,0.16744,135.77419,342.37793,2.84476
55.00,0.11477,2116.00776,47.24971,0.06764,99.12570,273.47168,2.92751
55.50,0.11349,2026.12312,46.30756,0.05726,98.35978,471.57715,2.86437
56.00,0.06678,1632.13500,38.52442,0.09241,52.88493,116.27930,2.91751
56.50,0.02831,1331.43242,6.46616,0.05784,8.11463,150.73242,4.29705
57.00,0.16485,2063.43184,122.92921,0.13893,193.58069,549.09668,3.63255
57.50,0.15860,2203.27845,140.66956,0.31159,192.69653,682.60254,3.57925
58.00,0.12664,2003.77852,108.96554,0.27278,129.84995,467.27051,3.42641
